2023-07-28 10:38:25.1302|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 10:46:28.4204|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 10:46:30.7013|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 10:46:30.7069|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 10:46:30.7069|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 10:46:30.7077|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 10:46:30.7077|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 10:46:50.9535|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 10:48:27.6824|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 10:48:29.8063|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 10:48:29.8119|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 10:48:29.8119|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 10:48:29.8126|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 10:48:29.8126|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 10:48:45.8147|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 10:54:41.9702|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 10:55:02.5911|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 10:55:02.5976|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 10:55:02.5977|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 10:55:02.5977|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 10:55:02.5986|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 10:55:10.0612|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|'Event' with id '89' was not found! |url: https://localhost/api/Event/GetById|action: GetById
2023-07-28 10:55:20.7869|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 10:58:51.3425|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 11:00:56.6055|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 11:00:56.6114|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 11:00:56.6114|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 11:00:56.6114|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 11:00:56.6114|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 11:01:01.7436|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 11:03:31.8733|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 11:03:31.8800|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 11:03:31.8800|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 11:03:31.8808|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 11:03:31.8808|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 11:03:45.5937|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 11:06:09.8648|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 11:06:12.1203|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 11:06:12.1263|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 11:06:12.1263|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 11:06:12.1263|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 11:06:12.1263|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 11:06:24.9398|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 11:06:30.1744|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 11:23:46.4711|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 11:23:46.4780|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 11:23:46.4780|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 11:23:46.4788|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 11:23:46.4788|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 11:23:54.7200|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|'Event' with id '2121' was not found! |url: https://localhost/api/Event/GetById|action: GetById
2023-07-28 11:24:04.5356|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 11:25:10.7304|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
